Ref,Description,Category,Qty,Unit_Mass_g,Total_Mass_g,Supplier,Supplier_PN_or_Search,Est_Unit_Price_USD,Est_Total_Price_USD,Notes
CAPE-A,Cape-A PCB 55×35mm — Sensor + FC cape (tamper mesh on F.Cu/B.Cu nets TMESH_P/N),Avionics,0,0,0,JLCPCB (fab from project gerbers),serenity/kicad/ CAPE-A gerbers + BOM,0,0,ARCHIVED Rev Q 2026-06-05 — superseded by CAPE-A-2.
CAPE-B,Cape-B PCB 55×35mm — Comms + Logging + Payload cape (tamper mesh on F.Cu/B.Cu nets TMESH_P/N),Avionics,0,0,0,JLCPCB (fab from project gerbers),serenity/kicad/ CAPE-B gerbers + BOM,0,0,ARCHIVED Rev Q 2026-06-05 — superseded by CAPE-B-2.
RCRS-49,RCRS-49 sub-module PCB — 49 MHz TDDS RC,Avionics,0,0,0,JLCPCB (fab from project gerbers),RCRS-49 gerbers,0,0,ARCHIVED Rev Q 2026-06-05 — superseded by XCVR-49MHZ-2.
CAPE-A-2,Cape-A-2 PCB 55x35mm — EMI-hardened Cape-A: ISOW1044BDFMR 5kV CAN FD isolation + ADM2795EBRWZ 5kV RS-485 isolation + ADIN1300BCPZ 1000BASE-T PHY + 2x ISO7642FDWRR 6-ch digital isolators + Wurth 749010012A ETH transformer + JST GH 4P + SRF2012 CMC + PRTR5V0U2X TVS,Avionics,4,31,124,JLCPCB (fab from project gerbers),serenity/kicad/ CAPE-A-2 gerbers + BOM,68.00,272.00,Cape-A-2 PCB 55x35mm EMI-hardened — ALL 4 FC positions — Rev Q primary FC cape. ISOW1044BDFMR 5kV CAN FD + ADM2795EBRWZ 5kV RS-485 + ADIN1300BCPZ 1000BASE-T. Gerbers pending DRC. DTS: cape-a2.dts
CAPE-B-2,"Cape-B-2 PCB 55x35mm — EMI-hardened Cape-B: same CAN FD + RS-485 + Ethernet isolation stack as CAPE-A-2 plus all Cape-B payload ICs (MAVLink, LoRa RFM95W, TI WL1837MOD WiFi/BT, SLB9670 TPM 2.0, ATF16V8BQL CPLD write-blocker, log microSD)",Avionics,4,41,164,JLCPCB (fab from project gerbers),serenity/kicad/ CAPE-B-2 gerbers + BOM,105.00,420.00,Cape-B-2 PCB 55x35mm EMI-hardened — ALL 4 CN positions — Rev Q primary CN cape. Same isolation stack as CAPE-A-2 plus all Cape-B payload ICs. Gerbers pending DRC. DTS: cape-b2.dts
Emma,Emma sub-module PCB — EMI-hardened 49 MHz AX.25 RCRS transceiver: SRF2012-100Y CMC on antenna feed + PRTR5V0U2X TVS on signal lines + X2Y bridging cap + Wurth 742792512 ferrite bead on +5V + JST GH 6P to Cape-B; 55x35mm 4-layer PCB,Avionics,4,13,52,JLCPCB (fab from project gerbers),Emma gerbers,32.00,128.00,Emma sub-module — ALL 4 CN positions — Rev Q primary 49MHz sub-module. SRF2012-100Y CMC + PRTR5V0U2X TVS + X2Y cap. RF Z0=52.26Ohm PASS. Gerbers pending DRC.
MICROSD-LOG,64GB microSD — Cape-B write-blocked flight log,Avionics,4,1,4,Amazon,Samsung 64GB microSD Class 10 U3,12.00,48.00,Write-blocked; flight log storage; formatted FAT32 or ext4 per firmware
WIRE-49MHZ,49MHz top wire — 0.3mm stainless steel ~470mm dorsal spine,Avionics,1,3,3,Amazon / AliExpress,Stainless steel wire 0.3mm dia 1m spool,5.00,5.00,End-fed shortened wire; horizontal polarisation; cross-pol loss ~6-12dB at <=300m acceptable
POST-FWD-49,Forward wire post + base-loading coil — PETG post + 38uH coil + LC pi-net at dorsal hull ~120mm,Avionics,1,4,4,In-house / AliExpress,38uH air-core inductor + variable cap + PETG printed post,8.00,8.00,3mm clearance from GPS patch face; bench-test HDOP <=1.5 with RCRS TX before flight
POST-AFT-49,Aft wire post + ceramic bead insulator — top of rear nozzle cone ~600mm from nose,Avionics,1,2,2,AliExpress,Ceramic standoff insulator 3mm + PETG post,3.00,3.00,Strain-relief wire at aft post; open-circuit (insulated) end
BATT-6S-4000,6S 4000mAh LiPo — hover / high-endurance,Power,1,750,750,HobbyKing / GetFPV,Tattu or Gens Ace 4000mAh 6S 60C LiPo XT60,55.00,55.00,Primary flight battery; >=15C cont (~60A draw); AUW ~3608g with Rev P cargo hardware
BATT-6S-2800,6S 2800mAh LiPo — cargo delivery (lower mass),Power,1,525,525,HobbyKing / GetFPV,Tattu or Gens Ace 2800mAh 6S LiPo XT60,40.00,40.00,Use when payload <=250g; -225g AUW vs 4000mAh cell
Kaylee,Custom Power Distribution Board Rev A — 4-layer 90x65mm PCB; dual redundant 5V/10A BEC (TPS54620x2 diode-OR'd); 6V/5A BEC (TPS54540); 5x INA226 current monitors; BQ76930 6S cell monitor; 150A MAXI + 4x40A mini blade fuses; XT60 in / 4xXT30 out / Molex Nano-Fit BEC out,Power,1,84,84,JLCPCB (fab from project gerbers),avionics/kicad/ Kaylee gerbers + BOM,65.00,65.00,Replaces generic PDB-BEC Rev Q. Dual redundant 5V SMPS (6A each diode-OR'd); single 6V servo SMPS. 5x INA226 current sense (0x40-0x44). BQ76930 cell monitor 0x08. 150A MAXI main fuse + 4x40A mini ESC fuses. I2C to Cape-A-2 Bay A J_EXT_I2C. ALERT GPIO to Cape-A-2. DSG FET AON6556 for hardware disconnect.
FUSE-MAIN-150A,Littelfuse 0297150.ZXNV 150A MAXI blade automotive fuse — main battery bus protection,Power,1,8,8,DigiKey / Mouser,Littelfuse 0297150.ZXNV or 0297150.PXCN,1.50,1.50,Installed in Kaylee inline fuse holder on VBAT positive rail between XT60 and distribution outputs; clears AFTER 40A branch fuses on short-circuit
FUSE-ESC-40A,Littelfuse 0297040.WXNV 40A mini blade automotive fuse — per-ESC branch protection (4x),Power,4,2,8,DigiKey / Mouser,Littelfuse 0297040.WXNV,0.50,2.00,One per ESC output on Kaylee; coordinates with 10AWG wire (55A rated); clears first on ESC-side short; 4 included in Kaylee BOM
SHUNT-1MOHM,Bourns CSS2H-2512K-1L00F 1mΩ 3W Kelvin 4-terminal shunt resistor (5x),Power,5,2,10,DigiKey / Mouser,Bourns CSS2H-2512K-1L00F,2.50,12.50,5x on Kaylee: 4 for ESC current monitors (U_IS1-U_IS4) + 1 for main bus monitor (U_IS_MAIN); Kelvin 4-terminal connection required; 3W rating; at 40A: P=1.6W within rating
LED-WS2812B,WS2812B addressable RGB LED ring — nozzle backlight,Lighting,3,8,24,Amazon / AliExpress,WS2812B LED ring 12-LED or 16-LED 50mm dia,8.00,24.00,One per nozzle (x2 nacelle + x1 rear); mounts at duct exit lip; driven via Cape-B GPIO
N20-WINCH,N20 300RPM 6V gear motor — cargo door winch,Cargo,1,10,10,Amazon / AliExpress,N20 micro gear motor 300RPM 6V,5.00,5.00,Drives clamshell cargo door; paired with HX711 load cell for weight sensing
HX711-LC,HX711 24-bit load cell ADC module,Cargo,1,3,3,Amazon / AliExpress,HX711 load cell amplifier breakout module,4.00,4.00,Cargo weight monitoring; interfaces to Cape-B SPI/GPIO
DRV8833-CARGO,DRV8833 dual H-bridge motor driver breakout — cargo door + release servo controller,Cargo,1,3,3,Amazon / AliExpress,DRV8833 dual H-bridge motor driver breakout board,2.00,2.00,Rev P new; drives 2x SG90 cargo servos; over-current protection for door-jam scenario; mounts in cargo_drv8833_tray.stl; 2.7-10.8V supply
DYNEEMA-SK75,"Dyneema SK75 0.5mm braided line, 2m — cargo winch spool line",Cargo,1,3,3,Amazon / AliExpress,Dyneema SK75 0.5mm braided fishing line 100m spool,4.00,4.00,Rev P new; buy 100m spool cut to 2m; break strength ~300N; WLL ~60N (5:1 SF) >> 400g payload load of ~4N
FOAM-GASKET-CARGO,3M foam gasket tape 2×2mm — cargo door mating flange seal,Cargo,1,5,5,Amazon,3M foam double-sided tape 2mm wide closed-cell weatherseal,3.00,3.00,Rev P new; fills 2x2mm door flange groove in cargo_door_port/stbd.stl; dust and weather seal; replace if adhesion fails after door cycles
CF-BAR-6X3,CF flat bar 6x3mm x 620mm — hull keel + 49MHz counterpoise,Structural,1,30,30,Amazon / AliExpress,6mm x 3mm carbon fiber flat bar 700mm,12.00,12.00,Full hull length; datum marks at 91/165/251/320/388mm from nose; also serves as RCRS-49 counterpoise
CF-TUBE-12MM,CF tube 12mm OD x 1.5mm wall x 350mm — wing spar,Structural,2,35,70,Amazon / AliExpress,12mm OD 1.5mm wall carbon fiber tube 350mm,10.00,20.00,Wing spar through wing root to fuselage; carries nacelle tilt loads
CF-PLATE-2MM,2mm CF plate — ring frame profiles (x5 stations),Structural,1,50,50,Amazon / AliExpress,2mm carbon fiber sheet 200x300mm,20.00,20.00,Jig-cut 5 cross-section profiles at 91/165/251/320/388mm stations
FOAM-PU-2LB,"Two-part closed-cell PU foam — 2 lb/ft³, 4x expansion",Structural,1,900,900,Amazon / Foam Factory,2 lb/cu ft two-part expanding foam kit (A+B),25.00,25.00,~0.7L mixed fill; place EPS void formers for avionics bays + cargo before pouring; do NOT foam nacelle or open cargo bay
WIRE-4AWG,4AWG silicone wire — battery XT60 to Kaylee XT60 (main bus),Wiring,1,90,90,Amazon / AliExpress,4AWG silicone wire red/black 200mm each,18.00,18.00,Main battery positive + negative; 200mm per polarity from battery XT60 to Kaylee XT60; rated 125A continuous (silicone 90°C); required for 90A hover load; replaces 10AWG on main bus
WIRE-10AWG,10AWG silicone wire — Kaylee XT30 outputs to ESC inputs,Wiring,1,80,80,Amazon / AliExpress,10AWG silicone wire red/black 1m each,15.00,15.00,ESC branch wiring only (Kaylee XT30 to ESC XT30); 55A rated free air; 1 pair per ESC x4 = ~400mm per polarity total; NOT for main battery bus (use WIRE-4AWG)
WIRE-16AWG,16AWG silicone wire — ESC to EDF motor phase leads,Wiring,1,40,40,Amazon / AliExpress,16AWG silicone wire 3m assorted,10.00,10.00,5 ESCs x 3 phases x ~200mm each
WIRE-28AWG-STP,28AWG shielded twisted pair — servo signal + DSHOT leads,Wiring,1,20,20,DigiKey / Mouser,28AWG shielded twisted pair signal cable 5m,15.00,15.00,Minimise EMI near avionics bays; use shielded for DSHOT and servo signal runs
CONDUIT-PTFE,PTFE conduit 3mm ID — data bus run full hull length,Wiring,1,25,25,Amazon / AliExpress,PTFE tube 3mm ID 4mm OD 700mm,8.00,8.00,Houses CAN FD / RS-485 / 1553 / ETH data bus bundle; full hull length
FIL-PETG,PETG filament 1kg spool — hull shells and fairings,Filament,2,1000,2000,Amazon / Hatchbox / eSUN,Hatchbox or eSUN PETG 1kg 1.75mm,28.00,56.00,~1460g required in Rev P (Rev O ~1400g + ~54g cargo prints); 2 spools; 0.20mm layer / 8% gyroid typical
FIL-CF-PETG,CF-PETG filament 0.75kg spool — structural nacelles and cargo brackets,Filament,1,750,750,3DXTech / MatterHackers,3DXTech CarbonX PETG+CF 0.75kg 1.75mm,48.00,48.00,~755g required in Rev P (Rev O ~620g + ~135g cargo CF-PETG prints); marginally exceeds 1 spool (750g) — have second spool on hand; requires hardened-steel nozzle; 0.15mm layer / 25-40% gyroid
FIL-TPU-95A,TPU 95A flexible filament 0.75kg — landing gear feet,Filament,1,250,250,Amazon / Polymaker,Polymaker PolyFlex TPU95 0.75kg 1.75mm,30.00,30.00,~100g required; 0.25mm layer / 40% infill
PRINT-HEAD-SHELL,s_head_shell24.stl — Cockpit / nose section,Printed Part,1,95,95,In-house 3D print,PETG — see FIL-PETG,0.00,0.00,0.20mm / 8% gyroid
PRINT-MIDDLE-CANONICAL,"s_middle_canonical_shell24.stl — Fuselage mid-section, canonical belly (NO scoop)",Printed Part,1,135,135,In-house 3D print,PETG — see FIL-PETG,0.00,0.00,0.20mm / 8% gyroid; SCAD: serenity/stl/s_middle_canonical_shell24.scad; belly restored to original Serenity geometry
PRINT-CARGO-SECT,s_cargo_sect_shell24.stl — Cargo section (Rev S shell with clamshell door cutout and servo mounts),Printed Part,1,165,165,In-house 3D print,PETG — see FIL-PETG,0.00,0.00,Rev S (2026-06-01): 100×90mm belly opening at station 165..330mm; 2x hinge-pin blocks (3.3mm bore + M3 grub-screw tap); 2x SG90 servo mount pads (4x M2.5 pilots each); 4x latch-catch lips at Z=42/122mm. Mass reduced ~15g vs Rev O due to door cutout. Regenerate from updated SCAD.
PRINT-REAR-NECK-INTAKE,s_rear_neck_intake_shell24.stl — Rear fuselage / engine bell with 4 radial scoop windows,Printed Part,1,225,225,In-house 3D print,PETG — see FIL-PETG,0.00,0.00,0.20mm / 8% gyroid; SCAD: serenity/stl/s_rear_neck_intake_shell24.scad; 4x 65x60mm cutouts at 90deg spacing at neck station ~310mm; verify NECK_X param in slicer
PRINT-NECK-INTAKE-FRAME,s_neck_intake_frame.stl — CF-PETG structural intake frame ring (bonds into 4 scoop windows),Printed Part,1,85,85,In-house 3D print,CF-PETG + hardened nozzle — see FIL-CF-PETG,0.00,0.00,0.15mm / 40% gyroid / 4 walls; SCAD: serenity/stl/s_neck_intake_frame.scad; bond with West System 105/206; cure 24h before foam-fill
PRINT-AFT-PLENUM,s_aft_edf_plenum.stl — PETG 4-to-1 cross-shaped plenum manifold (4 scoops -> 120mm EDF),Printed Part,1,75,75,In-house 3D print,PETG — see FIL-PETG,0.00,0.00,0.20mm / 20% gyroid; SCAD: serenity/stl/s_aft_edf_plenum.scad; seal all joints with epoxy fillet; pressure-test before closing hull
PRINT-EDF-MOTOR-MOUNT,s_edf_120_motor_mount.stl — CF-PETG 120mm EDF motor mount spider + fairing cone,Printed Part,1,55,55,In-house 3D print,CF-PETG + hardened nozzle — see FIL-CF-PETG,0.00,0.00,0.15mm / 40% gyroid / 4 walls; SCAD: serenity/stl/s_edf_120_motor_mount.scad; 3-arm spider; M3 hub bolt pattern 24mm BC
PRINT-THRUST-TUBE,s_edf_120_thrust_tube.stl — PETG 120mm EDF thrust tube (~440mm to ~600mm),Printed Part,1,45,45,In-house 3D print,PETG — see FIL-PETG,0.00,0.00,0.20mm / 20% gyroid; SCAD: serenity/stl/s_edf_120_thrust_tube.scad; 120mm ID x 3mm wall x 155mm long
PRINT-WINGS,s_wings_both_shell24.stl — Wing pair (SUPERSEDED by PRINT-WINGS-S1223 in Rev O),Printed Part,0,110,0,In-house 3D print,SUPERSEDED — see PRINT-WINGS-S1223,0.00,0.00,Retained for traceability; flat-plate cross-section replaced by Selig S1223 profile in Rev O
PRINT-WINGS-S1223,s_wing_port/stbd_s1223_revo.stl — Wing pair with Selig S1223 airfoil (Rev O),Printed Part,2,118,236,In-house 3D print,CF-PETG — see FIL-CF-PETG,0.00,0.00,0.15mm / 40% gyroid / 4 walls; S1223 t/c=12.14% max camber=8.65%; SCAD: serenity/stl/s_wings_s1223_revo.scad; CL=1.55 at 3deg AoA
PRINT-NACELLE-PORT,s_eng_left_stator_shell24_revo.stl — Port nacelle + CW stator + nav-wire conduit + harness port (Rev O),Printed Part,1,132,132,In-house 3D print,CF-PETG + hardened nozzle — see FIL-CF-PETG,0.00,0.00,0.15mm / 25% gyroid / 4 walls; SWIRL_DIR=+1 PYLON_SIDE=+1; SCAD: nacelle_pod_50mm_tandem.scad; pivot Z=83mm
PRINT-NACELLE-STBD,s_eng_right_stator_shell24_revo.stl — Stbd nacelle + CCW stator + nav-wire conduit + harness port (Rev O),Printed Part,1,132,132,In-house 3D print,CF-PETG + hardened nozzle — see FIL-CF-PETG,0.00,0.00,0.15mm / 25% gyroid / 4 walls; SWIRL_DIR=-1 PYLON_SIDE=-1; SCAD: nacelle_pod_50mm_tandem.scad -D SWIRL_DIR=-1
PRINT-PYLON,s_wing_nacelle_pylon_port/stbd_revo.stl — Integrated wing nacelle tilt pylon (Rev O),Printed Part,2,52,104,In-house 3D print,CF-PETG — see FIL-CF-PETG,0.00,0.00,0.15mm / 40% gyroid / 4 walls; hollow harness channel; spar press-fit bore 3.98mm; 4x M2.5 sector insert + 4x M3 wing insert; SCAD: serenity/stl/s_wing_nacelle_pylon_revo.scad
PRINT-PIV-OUTER,s_eng_piv_outer_scaled24.stl — SUPERSEDED by PRINT-PYLON in Rev O,Printed Part,0,35,0,In-house 3D print,SUPERSEDED — see PRINT-PYLON,0.00,0.00,Retained for traceability; replaced by s_wing_nacelle_pylon_revo.scad
PRINT-PIV-PINS,s_eng_piv_pins_scaled24.stl — SUPERSEDED by PRINT-PYLON fold hinge CF pin in Rev O,Printed Part,0,12,0,In-house 3D print,SUPERSEDED — see SPAR-HINGE-CF4,0.00,0.00,Retained for traceability
PRINT-PISTONS,s_eng_pistons_scaled24.stl — Tilt piston linkage fairing,Printed Part,2,25,50,In-house 3D print,PETG — see FIL-PETG,0.00,0.00,0.20mm / 20% gyroid; decorative fairing only
PRINT-PIVOT-ARM,s_pivot_arm_a_scaled24.stl — SUPERSEDED by PRINT-PYLON in Rev O,Printed Part,0,20,0,In-house 3D print,SUPERSEDED — see PRINT-PYLON,0.00,0.00,Retained for traceability
SPAR-TILT-CF4,4mm OD solid CF rod — nacelle tilt spar (press-fit in pylon + MF104ZZ bearing in nacelle),Hardware,2,3,6,Amazon / AliExpress,4mm solid carbon fiber rod 300mm,5.00,10.00,120mm per nacelle; cut to length; press-fit in pylon bore OD 3.98mm; nacelle MF104ZZ bearing rotates on spar
LED-WS2812C-NAC,WS2812C-2020 RGB LED — nacelle tip nav lights (port RED / stbd GREEN),LED,4,0.05,0.2,AliExpress / Mouser,WS2812C-2020 addressable RGB LED,0.20,0.80,2 per nacelle: 1x tip cap LED + 1x spare; FAA 14 CFR 91.209 compliant: port=RED stbd=GREEN
WIRE-28AWG-NAC,28AWG 3-core silicone wire — nacelle nav light WS2812C signal lead,Hardware,1,8,8,Amazon / AliExpress,28AWG 3-core silicone wire 1m,2.50,2.50,VCC / GND / DATA; routed through nacelle D-conduit and pylon hollow body; ~500mm per nacelle run
INSERT-M25-BRASS,M2.5 brass heat-set insert (M2.5×L5 OD3.5mm) — sector gear mount,Hardware,8,0.2,1.6,Amazon / AliExpress,M2.5 brass heat-set threaded insert L5mm,0.10,0.80,4 per pylon sector gear mount × 2 pylons; installed with soldering iron 220°C into CF-PETG
INSERT-M3-WING,M3 brass heat-set insert (M3×L5 OD4.2mm) — wing attachment bolts,Hardware,8,0.3,2.4,Amazon / AliExpress,M3 brass heat-set threaded insert L5mm,0.12,0.96,4 per pylon wing block × 2 pylons; M3×16 SHCS bolt from wing side
PRINT-NACELLE-PETAL,nacelle_nozzle_petal.stl — Nacelle iris nozzle petal (50mm) redesigned for M=1.0 rack in Rev O,Printed Part,16,2,32,In-house 3D print,PETG body + translucent-blue PETG inner face — see FIL-PETG,0.00,0.00,8 per nacelle x 2 nacelles; print flat; inner concave face in translucent-blue for LED backlight; SCAD: nacelle_nozzle_iris.scad
PRINT-NACELLE-RING,nacelle_nozzle_ring.stl — Nacelle iris base ring (M=1.0 internal rack in Rev O),Printed Part,2,18,36,In-house 3D print,CF-PETG — see FIL-CF-PETG,0.00,0.00,0.15mm / 40% / 4 walls; M=1.0 rack R_eff=28mm on inner ring; driven by Crown Pinion; SCAD: nacelle_nozzle_iris.scad
PRINT-REAR-PETAL,rear_nozzle_petal.stl — Rear iris nozzle petal 38deg span,Printed Part,8,4,32,In-house 3D print,PETG body + translucent-blue PETG inner face,0.00,0.00,0.20mm / 20% gyroid; inner concave face translucent-blue for LED backlight
PRINT-REAR-FRAME,rear_nozzle_frame.stl — Rear nozzle base ring + 8 fixed ribs (one-piece),Printed Part,1,55,55,In-house 3D print,CF-PETG — see FIL-CF-PETG,0.00,0.00,0.15mm / 30%; cone frame visible at all petal states
PRINT-FEET,s_feet_x_4_scaled24.stl — Landing gear feet x4,Printed Part,1,80,80,In-house 3D print,TPU 95A — see FIL-TPU-95A,0.00,0.00,0.25mm / 40%; flexible shock absorbers
PRINT-LEGS,s_legs_scaled24.stl — Landing gear legs,Printed Part,1,60,60,In-house 3D print,CF-PETG — see FIL-CF-PETG,0.00,0.00,0.15mm / 30%
SECTOR-M1-R22,M=1.0 sector gear R=22mm — fixed to tilt bracket,Gear,2,8,16,In-house resin print,nacelle_sector_gear.scad,3.00,6.00,Fixed to bracket; nacelle Pinion A rolls along arc during tilt; print resin SLA at <=0.05mm
PINION-A-M1-12T,M=1.0 Drive Pinion A N=12T R=6mm on nacelle exterior,Gear,2,3,6,In-house resin print,nacelle_pinion.scad,2.00,4.00,MR63ZZ (3×6×2.5mm) × 2 per pinion; shaft = 3mm CF rod
BEVEL-M1-14T,M=1.0 bevel gear pair N=14T 45° pitch cone 1:1 90° redirect,Gear,4,4,16,SDP-SI or in-house resin,nacelle_bevel_pair.scad,8.00,32.00,2 per nacelle (Bevel A transverse + Bevel B longitudinal); resin SLA preferred
CROWN-M1-12T,M=1.0 Crown Pinion N=12T R=6mm drives nozzle ring rack,Gear,2,3,6,In-house resin print,nacelle_pinion.scad,2.00,4.00,MR63ZZ × 2 per crown
BEVEL-HOUSING,Bevel gear housing block CF-PETG 24×14×20mm,Gear,2,12,24,In-house CF-PETG print,nacelle_bevel_housing.scad,0.00,0.00,Mounts to inboard nacelle boss posts via M2.5 screws
SHAFT-CF-3MM,3mm OD solid CF rod for gear shafts cut to length,Hardware,1,4,4,Amazon / AliExpress,3mm solid carbon fiber rod 300mm,6.00,6.00,2x 22mm transverse + 1x 52mm longitudinal per nacelle
BRG-MR63ZZ,MR63ZZ miniature ball bearing 3×6×2.5mm,Bearing,8,0.5,4,Amazon / AliExpress,MR63ZZ miniature ball bearing 3x6x2.5mm,0.80,6.40,2 per pinion/crown × 4 = 8 total
PTFE-SLEEVE-4MM,PTFE tube 4mm OD 3mm ID longitudinal shaft sleeve,Hardware,1,2,2,Amazon / AliExpress,PTFE tube 4mm OD 3mm ID 300mm,4.00,4.00,52mm per nacelle inside conduit; lubricates 3mm CF shaft
PRINT-CARGO-DOOR-PORT,"cargo_door_port.stl — Port clamshell cargo door, CF-PETG",Printed Part,1,45,45,In-house 3D print,CF-PETG + hardened nozzle — see FIL-CF-PETG,0.00,0.00,Rev P new (PR #22 2026-06-01); bilinear interp from belly faces; 8-barrel piano hinge tab; 3mm CF rod bore 3.15mm; 2x2mm foam gasket channel on inner mating flange; 0.15mm / 40% gyroid / 4 walls
PRINT-CARGO-DOOR-STBD,"cargo_door_stbd.stl — Starboard clamshell cargo door, CF-PETG",Printed Part,1,45,45,In-house 3D print,CF-PETG + hardened nozzle — see FIL-CF-PETG,0.00,0.00,Rev P new (PR #22 2026-06-01); mirror of cargo_door_port.stl; print with supports on hinge tab; 0.15mm / 40% gyroid / 4 walls
PRINT-CARGO-WINCH-MOUNT,"cargo_winch_motor_mount.stl — N20 winch motor mount, CF-PETG",Printed Part,1,25,25,In-house 3D print,CF-PETG + hardened nozzle — see FIL-CF-PETG,0.00,0.00,Rev P new (PR #21 2026-05-30); 10x12mm N20 pocket; 2x M2.5 SHCS clamp; 4x M3 heat-set inserts for forward frame; 0.15mm / 40% gyroid / 4 walls
