pin,signal,type
B44,X_OLDI0_A7N,I/O
B45,X_OLDI0_A7P,I/O
B46,X_OLDI0_A6P,I/O
B47,X_OLDI0_A6N,I/O
B48,GND,-
B49,X_OLDI0_A5N,I/O
B50,X_OLDI0_A5P,I/O
B51,X_OLDI0_A4N,I/O
B52,X_OLDI0_A4P,I/O
B53,GND,-
B54,X_OLDI0_CLK1P,I/O
B55,X_OLDI0_CLK1N,I/O
B56,GND,-
B57,X_WKUP_UART0_TXD,I/O
B58,X_WKUP_UART0_RXD,I/O
B59,X_WKUP_UART0_RTSN,I/O
B60,GND,-
C1,X_GPMC0_DIR,I/O
C2,X_GPMC0_WAIT0,I/O
C3,X_GPMC0_CLK,I/O
C4,X_GPMC0_AD0/BOOTMODE_02,I/O
C5,X_GPMC0_AD1/BOOTMODE_12,I/O
C6,GND,-
C7,X_GPMC0_AD2/BOOTMODE_22,I/O
C8,X_GPMC0_AD3/BOOTMODE_32,I/O
C9,X_GPMC0_AD4/BOOTMODE_42,I/O
C10,X_GPMC0_AD5/BOOTMODE_52,I/O
C11,X_GPMC0_AD6/BOOTMODE_62,I/O
C12,GND,-
C13,X_GPMC0_WEn,I/O
C14,X_GPMC0_CSn3,I/O
C15,X_GPMC0_ADVn_ALE,I/O
C16,X_GPMC0_BE0n_CLE,I/O
C17,X_GPMC0_OEn_REn,I/O
C18,X_GPMC0_BE1n,I/O
C19,GND,-
C20,X_MMC2_SDCD,I/O
C21,X_MMC2_SDWP,I/O
C22,X_MMC1_SDWP,I/O
C23,X_MMC1_SDCD,I/O
C24,GND,-
C25,X_MMC1_DAT0,I/O
C26,X_MMC1_DAT1,I/O
C27,X_MCASP0_AXR2,I/O
C28,X_MCASP0_AXR3,I/O
C29,X_MCASP0_ACLKX,I/O
C30,X_MCASP0_ACLKR,I/O
C31,GND,-
C32,X_I2C1_SCL,I/O
C33,X_I2C1_SDA,I/O
C34,X_I2C0_SDA,I/O
C35,X_I2C0_SCL,I/O
C36,X_MCAN0_TX,I/O
C37,X_MCAN0_RX,I/O
C38,GND,-
C39,X_RTC_INT,I/O
C40,X_SPI0_CS0,I/O
C41,X_SPI0_CS1,I/O
C42,X_TCK,I
C43,GND,-
C44,X_TDI,I
C45,X_TMS,I
C46,X_TDO,O
C47,X_TRSTN,I
C48,GND,-
C49,X_MCU_I2C0_SCL,OD-I/O
C50,X_MCU_I2C0_SDA,OD-I/O
C51,X_PMIC_EN,I
C52,X_nRESET_IN,I
C53,GND,-
C54,X_PGOOD,OD-O
C55,X_MCU_RESETSTATz,I/O
C56,X_MCU_RESETz,I
C57,X_PORz_OUT,O
C58,X_RESET_REQz,I
C59,GND,-
C60,X_EXT_REFCLK1,I/O
D1,X_GPMC0_AD7/BOOTMODE_72,I/O
D2,X_GPMC0_AD8/BOOTMODE_82,I/O
D3,GND,-
D4,X_GPMC0_AD9/BOOTMODE_9,I/O
D5,X_GPMC0_AD10/BOOTMODE_102,I/O
D6,X_GPMC0_AD11/BOOTMODE_112,I/O
D7,X_GPMC0_AD12/BOOTMODE_122,I/O
D8,X_GPMC0_AD13/BOOTMODE_132,I/O
D9,GND,-
D10,X_GPMC0_AD14/BOOTMODE_142,I/O
D11,X_GPMC0_AD15/BOOTMODE_152,I/O
D12,X_GPMC0_CSn0,I/O
D13,X_GPMC0_CSn1,I/O
D14,X_GPMC0_CSn2,I/O
D15,X_GPMC0_WPn,I/O
D16,X_GPMC0_WAIT1,I/O
D17,GND,-
D18,X_MMC2_CLK,I/O
D19,X_MMC2_CMD,I/O
D20,X_MMC2_DAT0,I/O
D21,X_MMC2_DAT1,I/O
D22,GND,-
D23,X_MMC2_DAT3,I/O
D24,X_MMC2_DAT2,I/O
D25,X_MMC1_CMD,I/O
D26,X_MMC1_CLK,I/O
D27,GND,-
D28,X_MMC1_DAT2,I/O
D29,X_MMC1_DAT3,I/O
D30,X_MCASP0_AFSX,I/O
D31,X_MCASP0_AXR1,I/O
D32,X_MCASP0_AFSR,I/O
D33,X_MCASP0_AXR0,I/O
D34,GND,-
D35,X_UART0_RTSN,I/O
D36,X_UART0_CTSN,I/O
D37,X_UART0_RXD,I/O
D38,X_UART0_TXD,I/O
D39,GND,-
D40,X_SPI0_CLK,I/O
D41,X_SPI0_D0,I/O
D42,X_SPI0_D1,I/O
D43,X_EMU03,I/O
D44,X_VPP_EN3,I/O
D45,GND,-
D46,X_MCU_SPI0_CLK,I/O
D47,X_MCU_SPI0_D0,I/O
D48,X_MCU_SPI0_D1,I/O
D49,X_MCU_SPI0_CS1,I/O
D50,X_WKUP_I2C0_SCL,OD-I/O
D51,X_WKUP_I2C0_SDA,OD-I/O
D52,GND,-
D53,X_MCU_UART0_CTSN,I/O
D54,X_MCU_UART0_RTSN,I/O
D55,X_MCU_UART0_RXD,I/O
D56,X_MCU_UART0_TXD,I/O
D57,GND,-
D58,X_RESETSTATz,O
D59,X_MCU_SAFETY_ERRORn,I/O
D60,X_WKUP_CLKOUT0,I/O
