Ref,Description,Category,Qty,Unit_Mass_g,Total_Mass_g,Supplier,Supplier_PN_or_Search,Est_Unit_Price_USD,Est_Total_Price_USD,Notes
CF-TUBE-12MM,CF tube 12mm OD x 1.5mm wall x 350mm — wing spar,Structural,2,35,70,Amazon / AliExpress,12mm OD 1.5mm wall carbon fiber tube 350mm,10.00,20.00,"Wing spar through wing root to fuselage; carries nacelle tilt loads"
CF-PLATE-2MM,2mm CF plate — ring frame profiles (x5 stations),Structural,1,50,50,Amazon / AliExpress,2mm carbon fiber sheet 200x300mm,20.00,20.00,"Jig-cut 5 cross-section profiles at 91/165/251/320/388mm stations"
FOAM-PU-2LB,"Two-part closed-cell PU foam — 2 lb/ft³, 4x expansion",Structural,1,900,900,Amazon / Foam Factory,2 lb/cu ft two-part expanding foam kit (A+B),25.00,25.00,"~0.7L mixed fill; place EPS void formers for avionics bays + cargo before pouring; do NOT foam nacelle"
WIRE-10AWG,10AWG silicone wire — battery to PDB and ESC inputs,Wiring,1,80,80,Amazon / AliExpress,10AWG silicone wire red/black 1m each,15.00,15.00,"Main power bus; 1m per polarity sufficient"
WIRE-16AWG,16AWG silicone wire — ESC to EDF motor phase leads,Wiring,1,40,40,Amazon / AliExpress,16AWG silicone wire 3m assorted,10.00,10.00,"5 ESCs x 3 phases x ~200mm each"
WIRE-28AWG-STP,28AWG shielded twisted pair — servo signal + DSHOT leads,Wiring,1,20,20,DigiKey / Mouser,28AWG shielded twisted pair signal cable 5m,15.00,15.00,"Minimise EMI near avionics bays; use shielded for DSHOT and servo signal runs"
CONDUIT-PTFE,PTFE conduit 3mm ID — data bus run full hull length,Wiring,1,25,25,Amazon / AliExpress,PTFE tube 3mm ID 4mm OD 700mm,8.00,8.00,"Houses CAN FD / RS-485 / 1553 / ETH data bus bundle; full hull length"
FIL-PETG,PETG filament 1kg spool — hull shells and fairings,Filament,2,1000,2000,Amazon / Hatchbox / eSUN,Hatchbox or eSUN PETG 1kg 1.75mm,28.00,56.00,"~1400g required across all PETG prints; buy 2 spools; 0.20mm layer / 8% gyroid typical"
FIL-CF-PETG,CF-PETG filament 0.75kg spool — structural nacelles and brackets,Filament,1,750,750,3DXTech / MatterHackers,3DXTech CarbonX PETG+CF 0.75kg 1.75mm,48.00,48.00,"~600g required; requires hardened-steel nozzle; 0.15mm layer / 25-40% gyroid"
FIL-TPU-95A,TPU 95A flexible filament 0.75kg — landing gear feet,Filament,1,250,250,Amazon / Polymaker,Polymaker PolyFlex TPU95 0.75kg 1.75mm,30.00,30.00,"~100g required; 0.25mm layer / 40% infill"
PRINT-HEAD-SHELL,"s_head_shell24.stl — Cockpit / nose section",Printed Part,1,95,95,In-house 3D print,PETG — see FIL-PETG,0.00,0.00,"0.20mm / 8% gyroid"
PRINT-MIDDLE-CANONICAL,"s_middle_canonical_shell24.stl — Fuselage mid-section, canonical belly (NO scoop)",Printed Part,1,135,135,In-house 3D print,PETG — see FIL-PETG,0.00,0.00,"0.20mm / 8% gyroid; SCAD: serenity/stl/s_middle_canonical_shell24.scad; belly restored to original Serenity geometry"
PRINT-CARGO-SECT,"s_cargo_sect_shell24.stl — Cargo section",Printed Part,1,180,180,In-house 3D print,PETG — see FIL-PETG,0.00,0.00,"0.20mm / 8% gyroid"
PRINT-REAR-NECK-INTAKE,"s_rear_neck_intake_shell24.stl — Rear fuselage / engine bell with 4 radial scoop windows",Printed Part,1,225,225,In-house 3D print,PETG — see FIL-PETG,0.00,0.00,"0.20mm / 8% gyroid; SCAD: serenity/stl/s_rear_neck_intake_shell24.scad; 4x 65x60mm cutouts at 90deg spacing at neck station ~310mm; verify NECK_X param in slicer"
PRINT-NECK-INTAKE-FRAME,"s_neck_intake_frame.stl — CF-PETG structural intake frame ring (bonds into 4 scoop windows)",Printed Part,1,85,85,In-house 3D print,CF-PETG + hardened nozzle — see FIL-CF-PETG,0.00,0.00,"0.15mm / 40% gyroid / 4 walls; SCAD: serenity/stl/s_neck_intake_frame.scad; bond with West System 105/206; cure 24h before foam-fill"
PRINT-AFT-PLENUM,"s_aft_edf_plenum.stl — PETG 4-to-1 cross-shaped plenum manifold (4 scoops -> 120mm EDF)",Printed Part,1,75,75,In-house 3D print,PETG — see FIL-PETG,0.00,0.00,"0.20mm / 20% gyroid; SCAD: serenity/stl/s_aft_edf_plenum.scad; seals all joints with epoxy fillet; pressure-test before closing hull"
PRINT-EDF-MOTOR-MOUNT,"s_edf_120_motor_mount.stl — CF-PETG 120mm EDF motor mount spider + fairing cone",Printed Part,1,55,55,In-house 3D print,CF-PETG + hardened nozzle — see FIL-CF-PETG,0.00,0.00,"0.15mm / 40% gyroid / 4 walls; SCAD: serenity/stl/s_edf_120_motor_mount.scad; 3-arm spider; forward spigot registers in plenum bell; M3 hub bolt pattern 24mm BC"
PRINT-THRUST-TUBE,"s_edf_120_thrust_tube.stl — PETG 120mm EDF thrust tube (~440mm to ~600mm)",Printed Part,1,45,45,In-house 3D print,PETG — see FIL-PETG,0.00,0.00,"0.20mm / 20% gyroid; SCAD: serenity/stl/s_edf_120_thrust_tube.scad; 120mm ID x 3mm wall x 155mm long; verify EDF_CASING_OD before printing"
PRINT-WINGS,"s_wings_both_shell24.stl — Wing pair (both sides)",Printed Part,1,110,110,In-house 3D print,PETG — see FIL-PETG,0.00,0.00,"0.20mm / 8% gyroid"
PRINT-NACELLE-PORT,"s_eng_left_stator_shell24.stl — Port nacelle + integrated CW stator",Printed Part,1,130,130,In-house 3D print,CF-PETG + hardened nozzle — see FIL-CF-PETG,0.00,0.00,"0.15mm / 25% gyroid / 4 walls; SWIRL_DIR=+1; generated by blender_nacelle_integrated_v1.py"
PRINT-NACELLE-STBD,"s_eng_right_stator_shell24.stl — Starboard nacelle + integrated CCW stator",Printed Part,1,130,130,In-house 3D print,CF-PETG + hardened nozzle — see FIL-CF-PETG,0.00,0.00,"0.15mm / 25% gyroid / 4 walls; SWIRL_DIR=-1; mirror of port nacelle"
PRINT-PIV-OUTER,"s_eng_piv_outer_scaled24.stl — Nacelle pivot housing outer",Printed Part,2,35,70,In-house 3D print,CF-PETG — see FIL-CF-PETG,0.00,0.00,"0.15mm / 40% gyroid / 4 walls; houses MF104ZZ bearings"
PRINT-PIV-PINS,"s_eng_piv_pins_scaled24.stl — Pivot pin holders",Printed Part,2,12,24,In-house 3D print,CF-PETG — see FIL-CF-PETG,0.00,0.00,"0.15mm / 40% solid / 4 walls"
PRINT-PISTONS,"s_eng_pistons_scaled24.stl — Tilt piston linkage fairing",Printed Part,2,25,50,In-house 3D print,PETG — see FIL-PETG,0.00,0.00,"0.20mm / 20% gyroid; decorative fairing only"
PRINT-PIVOT-ARM,"s_pivot_arm_a_scaled24.stl — Pivot arm (carries tilt servo pushrod)",Printed Part,2,20,40,In-house 3D print,CF-PETG — see FIL-CF-PETG,0.00,0.00,"0.15mm / 40% / 4 walls"
PRINT-NACELLE-PETAL,"nacelle_nozzle_petal.stl — Nacelle iris nozzle petal (50mm)",Printed Part,16,2,32,In-house 3D print,PETG body + translucent-blue PETG inner face — see FIL-PETG,0.00,0.00,"8 per nacelle x 2 nacelles; print flat; inner concave face in translucent-blue for LED backlight"
PRINT-NACELLE-RING,"nacelle_nozzle_ring.stl — Nacelle iris base ring (fixed)",Printed Part,2,18,36,In-house 3D print,CF-PETG — see FIL-CF-PETG,0.00,0.00,"0.15mm / 40% / 4 walls; fixed at nozzle exit face; seats 8 petals"
PRINT-REAR-PETAL,"rear_nozzle_petal.stl — Rear iris nozzle petal 38deg span",Printed Part,8,4,32,In-house 3D print,PETG body + translucent-blue PETG inner face,0.00,0.00,"0.20mm / 20% gyroid; inner concave face translucent-blue for LED backlight"
PRINT-REAR-FRAME,"rear_nozzle_frame.stl — Rear nozzle base ring + 8 fixed ribs (one-piece)",Printed Part,1,55,55,In-house 3D print,CF-PETG — see FIL-CF-PETG,0.00,0.00,"0.15mm / 30%; cone frame visible at all petal states"
PRINT-FEET,"s_feet_x_4_scaled24.stl — Landing gear feet x4",Printed Part,1,80,80,In-house 3D print,TPU 95A — see FIL-TPU-95A,0.00,0.00,"0.25mm / 40%; flexible shock absorbers"
PRINT-LEGS,"s_legs_scaled24.stl — Landing gear legs",Printed Part,1,60,60,In-house 3D print,CF-PETG — see FIL-CF-PETG,0.00,0.00,"0.15mm / 30%"
