Section,Ref,Description,Qty,Mass_g,US_Supplier,MPN_SKU,Manufacturer,Cost_USD_ea,Cost_USD_ext,STL_file,Notes
Payload System,WINCH-MOT,"N20 6V DC gearmotor 300:1",1,10,Amazon,N20-6V-300RPM,Generic,8.00,8.00,,8N lift at 300:1
Payload System,DRV8833,DRV8833 dual H-bridge driver breakout,1,1,"Amazon / Adafruit",DRV8833,"Adafruit / Generic",5.00,5.00,,
Payload System,CARGO-GONDOLA,"Cargo gondola shell PETG 112×85×22mm",1,22,Self-print (PETG),—,—,3.00,3.00,cargo_gondola_shell.stl,18mm belly pod protrusion
Payload System,CLAMSHELL-DOOR,Clamshell door halves PETG mirrored pair,2,7,Self-print (PETG),—,—,1.50,3.00,clamshell_door_half.stl,"Spring-loaded; SG90 linkage closes"
Payload System,CARGO-CRADLE,Cargo cradle + auto-latch PETG,1,10,Self-print (PETG),—,—,2.50,2.50,cargo_cradle_autolatch.stl,"Accepts 4″×3″×3″ box"
Payload System,WINCH-LINE,"Dyneema SK75 0.5mm braid 2m",1,1,Amazon,Dyneema-SK75-0.5mm,"DSM / Generic",8.00,8.00,,80N break strength
Payload System,SKID-FOOT,"TPU 95A landing skid feet (×4)",4,4,Self-print (TPU 95A),—,—,0.75,3.00,landing_skid_foot.stl,
Obstacle Avoidance Array A,TOF-A-VL53L5CX,"VL53L5CX 8×8 multizone ToF sensor Array-A (×6)",6,2,"Mouser / DigiKey",VL53L5CXV0GC/1,STMicroelectronics,7.00,42.00,,"Node 3 I2C3. Stations: Fwd/Aft/Port/Stbd/Zenith/Nadir"
Obstacle Avoidance Array A,TOF-A-MUX,TCA9548A 8-ch I2C mux Array-A,1,1,Mouser,TCA9548APWR,Texas Instruments,1.50,1.50,,"I2C 0x70; channels 0–5 → S1A–S6A"
Obstacle Avoidance Array A,TOF-A-GPIO,MCP23008 8-port GPIO expander XSHUT ctrl Array-A,1,1,Mouser,MCP23008-E/SS,Microchip,1.20,1.20,,"I2C 0x20; GP0–GP5 → XSHUT S1A–S6A"
Obstacle Avoidance Array A,TOF-A-MOUNT,"VL53L5CX PETG flush-mount ×6 Array-A",6,1,Self-print (PETG),—,—,0.50,3.00,tof_flush_mount_5mm.stl,Press-fit 6.5mm hull cutout
Obstacle Avoidance Array A,TOF-A-CABLE,"VL53L5CX 4-wire JST-SH1.0 300mm ×6 Array-A",6,1,"Amazon / Mouser",JST-SH1.0-4P-300mm,Generic,1.50,9.00,,"GND/VCC/SDA/SCL; route via foam conduit"
Obstacle Avoidance Array B,TOF-B-VL53L5CX,"VL53L5CX 8×8 multizone ToF sensor Array-B (×6)",6,2,"Mouser / DigiKey",VL53L5CXV0GC/1,STMicroelectronics,7.00,42.00,,"Node 2 I2C2. Spatially offset from Array A"
Obstacle Avoidance Array B,TOF-B-MUX,TCA9548A 8-ch I2C mux Array-B,1,1,Mouser,TCA9548APWR,Texas Instruments,1.50,1.50,,"I2C 0x70 on Node 2 I2C2 (isolated from Array A)"
Obstacle Avoidance Array B,TOF-B-GPIO,MCP23008 8-port GPIO expander XSHUT ctrl Array-B,1,1,Mouser,MCP23008-E/SS,Microchip,1.20,1.20,,"I2C 0x20 on Node 2 I2C2"
Obstacle Avoidance Array B,TOF-B-MOUNT,"VL53L5CX PETG flush-mount ×6 Array-B",6,1,Self-print (PETG),—,—,0.50,3.00,tof_flush_mount_5mm.stl,"Same print as Array A; different hull positions"
Obstacle Avoidance Array B,TOF-B-CABLE,"VL53L5CX 4-wire JST-SH1.0 300mm ×6 Array-B",6,1,"Amazon / Mouser",JST-SH1.0-4P-300mm,Generic,1.50,9.00,,Separate foam conduit from Array A
Radios and Sensors,SIK-915,SiK 915MHz telemetry radio module,1,14,"Holybro US / mRo",HolyBro SiK Radio V3,Holybro,45.00,45.00,,"On COMMS-HAT-SWITCH; SMA belly antenna"
Radios and Sensors,RCRS-49,49MHz RCRS RC receiver board,1,12,Specialty RC suppliers,RCRS-49MHz,"RCRS / Generic",35.00,35.00,,Dorsal fin antenna coil
Radios and Sensors,GPS-M10Q,u-blox M10Q GPS module + patch antenna,1,12,SparkFun,GPS-19770,"u-blox / SparkFun",35.00,35.00,,"59mm from nose; cockpit top mount"
Radios and Sensors,ANT-SIK,915MHz SMA whip antenna + pigtail,1,3,Amazon,915MHz-SMA-whip,Generic,9.00,9.00,,SMA belly mount
Radios and Sensors,ANT-RCRS,"49MHz helical coil + ABS enclosure (dorsal fin)",1,3,DIY (Amazon parts),49MHz-helical-DIY,DIY,12.00,12.00,,Wound coil in printed dorsal fin housing
Radios and Sensors,NAVLIGHT,"WS2812C LED + diffuser + PETG mount (×6)",6,1.3,"Amazon / Adafruit",WS2812C-2020,WorldSemi,2.00,12.00,,"Port=RED Stbd=GREEN Tail=WHITE Belly=WHITE strobe"
Fasteners and Misc,STANDOFF,"M2.5 nylon hex standoffs 6mm ×20",1,4,Amazon,M2.5-nylon-standoff-6mm,Generic,6.00,6.00,,
Fasteners and Misc,SCREW-M25,"M2.5 stainless screws ×40 (8mm + 12mm assorted)",1,6,Amazon,M2.5-SS-screw-kit,Generic,6.00,6.00,,
Fasteners and Misc,ZIPTIE,"Nylon zip ties ×30 (100mm + 200mm)",1,4,Amazon,nylon-zip-ties,Generic,4.00,4.00,,
Fasteners and Misc,FOAM-TAPE,3M double-sided foam tape vibration isolation,1,4,Amazon,3M-foam-tape,3M,8.00,8.00,,
Fasteners and Misc,CABLE-CLIP,Cable management clips + mounts,1,4,Amazon,cable-clips,Generic,6.00,6.00,,
TOTAL,,,,,,,,,1644.08,,
